disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12,symptom_13,symptom_14,symptom_15,symptom_16,symptom_17,symptoms,precaution_1,precaution_2,precaution_3,precaution_4,precautions,_merge
(Vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,,,,,,,,,,,,"[' vomiting', ' headache', ' nausea', ' spinning_movements', ' loss_of_balance']",lie down,avoid sudden change in body,avoid abrupt head movment,relax,"['lie down', 'avoid sudden change in body', 'avoid abrupt head movment', 'relax']",both
Acne, skin_rash, pus_filled_pimples, blackheads, scurring,,,,,,,,,,,,,,"[' skin_rash', ' pus_filled_pimples', ' blackheads', ' scurring', nan]",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"['bath twice', 'avoid fatty spicy food', 'drink plenty of water', 'avoid too many products']",both
Aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,"[' muscle_wasting', ' patches_in_throat', ' high_fever', ' extra_marital_contacts', nan]",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",both
Alcoholic Hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,"[' vomiting', ' yellowish_skin', ' abdominal_pain', ' swelling_of_stomach', ' distention_of_abdomen']",stop alcohol consumption,consult doctor,medication,follow up,"['stop alcohol consumption', 'consult doctor', 'medication', 'follow up']",both
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,"[' continuous_sneezing', ' shivering', ' chills', ' watering_from_eyes', nan]",apply calamine,cover area with bandage,,use ice to compress itching,"['apply calamine', 'cover area with bandage', nan, 'use ice to compress itching']",both
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking,,,,,,,,,,,,,"[' muscle_weakness', ' stiff_neck', ' swelling_joints', ' movement_stiffness', ' painful_walking']",exercise,use hot and cold therapy,try acupuncture,massage,"['exercise', 'use hot and cold therapy', 'try acupuncture', 'massage']",both
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,"[' fatigue', ' cough', ' high_fever', ' breathlessness', ' family_history']",switch to loose cloothing,take deep breaths,get away from trigger,seek help,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']",both
Cervical Spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,"[' back_pain', ' weakness_in_limbs', ' neck_pain', ' dizziness', ' loss_of_balance']",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,"['use heating pad or cold pack', 'exercise', 'take otc pain reliver', 'consult doctor']",both
Chicken Pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever']",use neem in bathing ,consume neem leaves,take vaccine,avoid public places,"['use neem in bathing ', 'consume neem leaves', 'take vaccine', 'avoid public places']",both
Chronic Cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,"['itching', ' vomiting', ' yellowish_skin', ' nausea', ' loss_of_appetite']",cold baths,anti itch medicine,consult doctor,eat healthy,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",both
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,"[' continuous_sneezing', ' chills', ' fatigue', ' cough', ' high_fever']",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']",both
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body,,,,,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue']",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']",both
Diabetes, fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level']",have balanced diet,exercise,consult doctor,follow up,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",both
Dimorphic Hemmorhoids(Piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,,,,,,,,,,,,,"[' constipation', ' pain_during_bowel_movements', ' pain_in_anal_region', ' bloody_stool', ' irritation_in_anus']",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,"['avoid fatty spicy food', 'consume witch hazel', 'warm bath with epsom salt', 'consume alovera juice']",both
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"['itching', ' skin_rash', ' stomach_pain', ' burning_micturition', ' spotting_ urination']",stop irritation,consult nearest hospital,stop taking drug,follow up,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",both
Fungal Infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,"['itching', ' skin_rash', ' nodal_skin_eruptions', ' dischromic _patches', nan]",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",both
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,"[' vomiting', ' sunken_eyes', ' dehydration', ' diarrhoea', nan]",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",both
Gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,"[' stomach_pain', ' acidity', ' ulcers_on_tongue', ' vomiting', ' cough']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",both
Heart Attack, vomiting, breathlessness, sweating, chest_pain,,,,,,,,,,,,,,"[' vomiting', ' breathlessness', ' sweating', ' chest_pain', nan]",call ambulance,chew or swallow asprin,keep calm,,"['call ambulance', 'chew or swallow asprin', 'keep calm', nan]",both
Hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,"[' joint_pain', ' vomiting', ' yellowish_skin', ' dark_urine', ' nausea']",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,"['Consult nearest hospital', 'wash hands through', 'avoid fatty spicy food', 'medication']",both
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,"['itching', ' fatigue', ' lethargy', ' yellowish_skin', ' dark_urine']",consult nearest hospital,vaccination,eat healthy,medication,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']",both
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, family_history,,,,,,,,,,,,,"[' fatigue', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' family_history']",Consult nearest hospital,vaccination,eat healthy,medication,"['Consult nearest hospital', 'vaccination', 'eat healthy', 'medication']",both
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,"[' joint_pain', ' vomiting', ' fatigue', ' yellowish_skin', ' dark_urine']",consult doctor,medication,eat healthy,follow up,"['consult doctor', 'medication', 'eat healthy', 'follow up']",both
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, coma, stomach_bleeding,,,,,,"[' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' yellowish_skin']",stop alcohol consumption,rest,consult doctor,medication,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']",both
Hypertension, headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,"[' headache', ' chest_pain', ' dizziness', ' loss_of_balance', ' lack_of_concentration']",meditation,salt baths,reduce stress,get proper sleep,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']",both
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation,,,,,,,"[' fatigue', ' mood_swings', ' weight_loss', ' restlessness', ' sweating']",eat healthy,massage,use lemon balm,take radioactive iodine treatment,"['eat healthy', 'massage', 'use lemon balm', 'take radioactive iodine treatment']",both
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, slurred_speech, irritability, palpitations,,,,,,,"[' vomiting', ' fatigue', ' anxiety', ' sweating', ' headache']",lie down on side,check in pulse,drink sugary drinks,consult doctor,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']",both
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,,"[' fatigue', ' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' lethargy']",reduce stress,exercise,eat healthy,get proper sleep,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']",both
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,,"[' skin_rash', ' high_fever', ' blister', ' red_sore_around_nose', ' yellow_crust_ooze']",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,"['soak affected area in warm water', 'use antibiotics', 'remove scabs with wet compressed cloth', 'consult doctor']",both
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,"['itching', ' vomiting', ' fatigue', ' weight_loss', ' high_fever']",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,"['drink plenty of water', 'consume milk thistle', 'eat fruits and high fiberous food', 'medication']",both
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,,"[' chills', ' vomiting', ' high_fever', ' sweating', ' headache']",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,"['Consult nearest hospital', 'avoid oily food', 'avoid non veg food', 'keep mosquitos out']",both
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger']",meditation,reduce stress,use poloroid glasses in sun,consult doctor,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']",both
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,,"[' joint_pain', ' neck_pain', ' knee_pain', ' hip_joint_pain', ' swelling_joints']",acetaminophen,consult nearest hospital,follow up,salt baths,"['acetaminophen', 'consult nearest hospital', 'follow up', 'salt baths']",both
Paralysis (Brain Hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,"[' vomiting', ' headache', ' weakness_of_one_body_side', ' altered_sensorium', nan]",massage,eat healthy,exercise,consult doctor,"['massage', 'eat healthy', 'exercise', 'consult doctor']",both
Peptic Ulcer Diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,"[' vomiting', ' loss_of_appetite', ' abdominal_pain', ' passage_of_gases', ' internal_itching']",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",both
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"[' chills', ' fatigue', ' cough', ' high_fever', ' breathlessness']",consult doctor,medication,rest,follow up,"['consult doctor', 'medication', 'rest', 'follow up']",both
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,"[' skin_rash', ' joint_pain', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails']",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"['wash hands with warm soapy water', 'stop bleeding using pressure', 'consult doctor', 'salt baths']",both
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,"[' chills', ' vomiting', ' fatigue', ' weight_loss', ' cough']",cover mouth,consult doctor,medication,rest,"['cover mouth', 'consult doctor', 'medication', 'rest']",both
Typhoid, chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' nausea']",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']",both
Urinary Tract Infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,,,,,,,,,,,,,,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', nan]",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,"['drink plenty of water', 'increase vitamin c intake', 'drink cranberry juice', 'take probiotics']",both
Varicose Veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,,,,,,,,,,,"[' fatigue', ' cramps', ' bruising', ' obesity', ' swollen_legs']",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,"['lie down flat and raise the leg high', 'use oinments', 'use vein compression', 'dont stand still for long']",both
